EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.56,0.1,0.28,0.31,0
0.41,0.1,0.3,0.3,0
0.42,0.1,0.29,0.31,0
0.46,0.1,0.3,0.3,0
0.43,0.1,0.28,0.3,0
1.17,0.12,0.71,0.69,1
1.02,0.12,0.56,0.66,1
0.82,0.13,0.53,0.59,1
0.75,0.11,0.42,0.55,1
0.86,0.12,0.43,0.54,1
0.47,0.11,0.3,0.35,0
0.45,0.11,0.37,0.32,0
0.41,0.1,0.31,0.31,0
0.52,0.1,0.28,0.3,0
0.5,0.1,0.28,0.3,0
1.14,0.14,0.77,1.27,2
1.2,0.16,0.98,1.48,2
1.16,0.14,0.85,1.23,2
0.95,0.13,0.68,1.23,2
0.86,0.14,0.73,1.13,2
0.47,0.1,0.29,0.33,0
0.43,0.11,0.3,0.34,0
0.41,0.1,0.31,0.31,0
0.41,0.1,0.29,0.3,0
0.42,0.1,0.29,0.3,0
0.92,0.1,0.81,0.89,3
1.32,0.16,0.71,1.81,3
1.26,0.16,0.77,2.29,3
0.99,0.16,0.62,2.22,3
0.76,0.14,0.77,1.86,3
0.47,0.2,0.31,0.52,0
0.43,0.11,0.36,0.37,0
0.41,0.15,0.3,0.37,0
0.41,0.11,0.29,0.35,0
0.4,0.1,0.29,0.31,0
0.73,0.11,0.43,0.79,4
0.59,0.11,0.48,0.88,4
0.47,0.11,0.44,0.95,4
0.8,0.13,0.6,1.28,4
0.64,0.13,0.48,1.09,4
0.42,0.11,0.28,0.4,0
0.43,0.1,0.32,0.33,0
0.44,0.1,0.28,0.3,0
0.42,0.11,0.28,0.31,0
0.41,0.1,0.28,0.31,0
0.91,0.12,0.44,0.8,1
1.03,0.12,0.53,0.54,1
0.65,0.11,0.43,0.6,1
0.96,0.12,0.42,0.58,1
1.12,0.13,0.63,0.76,1
0.44,0.1,0.29,0.32,0
0.46,0.1,0.32,0.3,0
0.41,0.1,0.29,0.3,0
0.44,0.1,0.28,0.3,0
0.4,0.1,0.28,0.31,0
1.31,0.19,0.88,1.23,2
1.21,0.16,0.77,1.29,2
1.09,0.16,0.87,1.42,2
0.95,0.16,0.72,1.19,2
1.01,0.21,0.64,1.42,2
0.44,0.1,0.28,0.35,0
0.44,0.1,0.31,0.33,0
0.44,0.1,0.3,0.33,0
0.41,0.1,0.28,0.3,0
0.43,0.1,0.28,0.31,0
1.13,0.14,0.66,1.18,3
0.99,0.14,0.73,1.43,3
0.96,0.13,0.54,1.89,3
1.17,0.4,0.83,2.31,3
1.23,0.32,0.59,2.09,3
0.43,0.11,0.29,0.33,0
0.39,0.09,0.27,0.35,0
0.45,0.1,0.29,0.3,0
0.4,0.09,0.27,0.29,0
0.42,0.1,0.28,0.3,0
0.86,0.18,0.48,1.03,4
0.9,0.14,0.45,1.19,4
0.69,0.13,0.43,1.01,4
0.72,0.15,0.43,1.13,4
0.65,0.14,0.45,1.26,4
0.41,0.11,0.3,0.41,0
0.41,0.1,0.28,0.34,0
0.41,0.1,0.28,0.32,0
0.42,0.1,0.28,0.29,0
0.4,0.1,0.28,0.3,0
0.65,0.09,0.43,0.57,1
1.24,0.12,0.61,0.74,1
0.75,0.11,0.54,0.79,1
0.87,0.14,0.52,0.71,1
0.89,0.13,0.5,0.73,1
0.48,0.1,0.29,0.32,0
0.52,0.1,0.32,0.29,0
0.47,0.1,0.28,0.3,0
0.49,0.1,0.28,0.31,0
0.48,0.1,0.29,0.3,0
1.04,0.14,0.61,1.93,2
1.22,0.19,0.73,1.44,2
1.25,0.18,0.64,1.44,2
1.14,0.12,0.62,1.04,2
0.92,0.12,0.63,1.24,2
