EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.34,0.07,0.17,0.25,0
0.35,0.07,0.31,0.22,0
0.43,0.07,0.19,0.25,0
0.28,0.07,0.11,0.29,0
0.29,0.07,0.12,0.24,0
1.04,0.07,0.39,0.55,1
0.88,0.07,0.35,0.48,1
0.91,0.07,0.43,0.56,1
0.75,0.07,0.4,0.52,1
0.91,0.08,0.37,0.45,1
0.37,0.16,0.25,0.37,0
0.4,0.07,0.22,0.29,0
0.25,0.07,0.14,0.29,0
0.27,0.07,0.15,0.3,0
0.24,0.07,0.14,0.32,0
1.26,0.08,0.84,1.13,2
1.23,0.08,0.84,1.45,2
0.96,0.07,0.89,1.62,2
1.06,0.07,0.71,1.31,2
1.02,0.09,0.85,1.48,2
0.49,0.07,0.35,0.77,0
0.42,0.07,0.2,0.25,0
0.54,0.07,0.22,0.26,0
0.31,0.07,0.16,0.25,0
0.31,0.07,0.15,0.25,0
1.03,0.18,0.74,0.98,3
1.02,0.24,0.64,1.19,3
0.98,0.2,0.73,1.21,3
1.1,1.25,0.67,1.15,3
0.72,0.98,0.55,1.16,3
0.87,0.13,0.33,0.74,3
0.34,0.07,0.16,0.26,0
0.45,0.07,0.18,0.26,0
0.6,0.07,0.22,0.27,0
0.43,0.07,0.15,0.25,0
0.49,0.07,0.2,0.28,0
0.63,0.14,0.23,1.1,4
0.54,0.09,0.2,1.11,4
0.54,0.13,0.31,1.29,4
0.57,0.16,0.27,1.1,4
0.57,0.15,0.31,1.08,4
0.5,0.19,0.2,1.11,4
0.4,0.07,0.15,0.39,0
0.47,0.07,0.17,0.27,0
0.34,0.07,0.18,0.26,0
0.47,0.07,0.18,0.25,0
1.06,0.07,0.45,0.5,1
0.87,0.07,0.32,0.42,1
0.84,0.07,0.32,0.46,1
0.63,0.07,0.28,0.42,1
0.79,0.07,0.25,0.37,1
0.37,0.07,0.17,0.39,0
0.22,0.07,0.13,0.42,0
0.46,0.07,0.16,0.9,0
0.32,0.07,0.16,0.51,0
1.77,0.15,0.78,1.32,2
2.5,0.16,1.1,1.86,2
1.09,0.09,0.77,1.24,2
1.62,0.11,0.71,2.08,2
1.5,0.11,0.86,2.71,2
1.01,0.09,0.42,1.02,2
0.21,0.07,0.1,0.37,0
0.3,0.09,0.14,0.44,0
0.31,0.07,0.11,0.32,0
0.29,1.77,0.12,0.22,0
0.21,0.21,0.1,0.24,0
0.23,0.07,0.15,0.26,0
1.61,0.27,0.69,1.16,3
1.1,0.17,0.71,0.97,3
1.14,0.25,0.72,1.34,3
0.69,0.15,0.41,0.77,3
0.33,0.08,0.3,0.57,0
0.27,0.07,0.11,0.41,0
0.23,0.07,0.12,0.32,0
0.18,0.07,0.09,0.25,0
0.16,0.07,0.12,0.24,0
0.74,0.07,0.28,0.71,4
0.59,0.11,0.23,1.3,4
0.53,0.12,0.25,0.93,4
0.47,0.2,0.21,0.78,4
0.76,2.98,0.35,0.95,4
0.3,0.09,0.43,0.42,0
0.25,0.11,0.23,0.29,0
0.26,0.08,0.12,0.24,0
