EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.22,0.07,0.1,0.27,0
0.2,0.78,0.19,0.34,0
0.25,0.09,0.12,0.69,0
0.2,0.09,0.22,0.57,0
0.23,0.07,0.11,0.32,0
1.13,0.08,0.54,0.69,1
1.3,0.08,0.37,0.56,1
1.2,0.1,0.5,0.54,1
0.88,0.09,0.33,0.64,1
0.85,0.1,0.36,0.61,1
0.37,0.08,0.27,0.43,0
0.27,0.07,0.26,0.27,0
0.16,0.07,0.16,0.25,0
0.17,0.07,0.09,0.25,0
0.17,0.07,0.08,0.25,0
1.04,0.08,0.5,1.09,2
2.04,0.12,0.76,1.5,2
2.63,0.19,1.11,2.17,2
2.52,0.17,0.96,1.74,2
1.39,0.11,0.55,1.51,2
0.56,0.16,0.35,0.8,2
0.19,0.08,0.12,0.44,0
0.16,0.07,0.09,0.32,0
0.22,0.09,0.09,0.73,0
0.17,0.07,0.13,0.58,0
0.18,0.07,0.12,0.43,0
1.04,0.12,0.53,0.76,3
1.55,0.25,0.79,1.28,3
1.06,0.2,0.51,1.07,3
0.93,0.24,0.49,1,3
0.84,0.15,0.42,1.02,3
0.26,0.1,0.23,0.58,0
0.19,0.07,0.1,0.23,0
0.16,0.07,0.09,0.24,0
0.17,0.07,0.16,0.22,0
0.17,0.07,0.15,0.22,0
0.75,0.1,0.29,0.92,4
0.45,0.08,0.28,0.84,4
0.5,0.14,0.35,1.25,4
0.47,0.22,0.31,1.18,4
0.42,0.17,0.29,1.09,4
0.3,0.08,0.24,0.54,0
0.22,0.07,0.16,0.23,0
0.15,0.08,0.1,0.23,0
0.16,0.07,0.13,0.3,0
0.15,0.07,0.15,0.27,0
1.09,0.08,0.46,0.59,1
1.02,0.51,0.34,0.53,1
0.8,0.14,0.31,0.46,1
1.67,0.07,0.44,0.58,1
0.84,0.07,0.34,0.59,1
0.34,0.09,0.28,0.31,0
0.21,1.72,0.14,0.31,0
0.17,0.07,0.1,0.27,0
0.17,0.07,0.09,0.27,0
0.17,0.11,0.09,0.32,0
0.16,0.07,0.1,0.4,0
1.07,0.09,0.47,0.99,2
1.18,0.08,0.59,1.44,2
1.3,0.08,0.57,1.61,2
2.56,0.11,1.21,1.87,2
1.15,0.09,0.67,1.59,2
0.9,0.11,0.45,1.4,2
0.22,0.07,0.09,0.23,0
0.15,0.07,0.09,0.22,0
0.19,0.07,0.09,0.22,0
0.2,0.07,0.09,0.23,0
1.36,0.12,0.58,1.04,3
1.64,0.14,0.76,1.39,3
0.85,0.2,0.53,1.11,3
0.87,0.16,0.45,1.09,3
0.99,0.16,0.47,0.83,3
0.3,0.13,0.32,0.66,0
0.22,0.07,0.09,0.26,0
0.62,0.1,0.21,0.34,0
0.16,0.07,0.09,0.23,0
0.16,0.07,0.13,0.22,0
0.3,0.07,0.12,0.28,0
0.65,0.08,0.25,0.84,4
0.49,0.13,0.23,0.93,4
0.56,0.18,0.31,1.31,4
0.58,0.17,0.26,1.22,4
0.3,0.08,0.34,0.57,4
0.2,0.07,0.12,0.22,0
0.15,0.1,0.09,0.24,0
0.16,0.1,0.1,0.23,0
0.18,0.07,0.12,0.24,0
1.69,0.09,0.48,0.62,1
1.04,0.07,0.41,0.45,1
