EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.45,0.14,0.26,0.35,0
0.39,0.13,0.27,0.52,0
0.39,0.11,0.3,0.34,0
0.39,0.1,0.27,0.34,0
0.4,0.1,0.26,0.35,0
1.34,0.12,0.68,0.75,1
0.93,0.1,0.65,0.87,1
1.24,0.1,0.77,0.7,1
1,0.09,0.55,0.63,1
0.98,0.09,0.6,0.61,1
0.41,0.1,0.28,0.38,0
0.51,0.09,0.29,0.34,0
0.4,0.09,0.26,0.35,0
0.48,0.09,0.26,0.39,0
0.41,0.09,0.26,0.35,0
1.43,0.14,1.01,1.39,2
1.63,0.16,1.52,1.68,2
1.3,0.16,0.94,1.54,2
1.13,0.13,0.78,1.18,2
0.98,0.13,0.84,1.07,2
0.47,0.15,0.4,0.38,0
0.39,0.09,0.25,0.35,0
0.39,0.09,0.26,0.34,0
0.4,0.1,0.26,0.34,0
0.41,0.09,0.28,0.39,0
1.52,0.22,1.28,1.63,3
1.61,0.15,1.57,1.87,3
1.08,0.14,1.09,1.63,3
1.13,0.29,1.14,2.01,3
0.74,0.13,0.67,1.62,3
0.39,0.1,0.27,0.4,0
0.39,0.1,0.25,0.35,0
0.41,0.1,0.26,0.35,0
0.42,0.1,0.28,0.41,0
0.4,0.1,0.26,0.44,0
0.72,0.12,0.57,1.06,4
0.57,0.13,0.5,0.78,4
0.55,0.12,0.47,0.72,4
0.47,0.1,0.36,0.84,4
0.49,0.11,0.39,0.92,4
0.4,0.1,0.27,0.57,0
0.39,0.1,0.25,0.37,0
0.45,0.1,0.26,0.37,0
0.4,0.09,0.27,0.35,0
0.4,0.1,0.25,0.34,0
1.03,0.15,0.68,0.84,1
1.23,0.11,0.58,0.68,1
0.92,0.12,0.59,0.81,1
0.89,0.11,0.65,0.9,1
0.98,0.11,0.58,0.76,1
0.43,0.09,0.4,0.39,0
0.42,0.1,0.27,0.33,0
0.41,0.1,0.27,0.33,0
0.4,0.11,0.25,0.34,0
0.39,0.1,0.25,0.34,0
1.17,0.18,1.08,1.34,2
1.13,0.16,0.71,1.38,2
1.66,0.18,1.13,1.6,2
1.25,0.16,0.93,1.7,2
1.52,0.22,1.14,2.26,2
0.48,0.12,0.86,0.43,0
0.42,0.12,0.42,0.34,0
0.42,0.11,0.24,0.35,0
0.4,0.1,0.25,0.34,0
0.39,0.11,0.24,0.37,0
1.12,0.14,0.77,1.26,3
1.3,0.14,0.81,1.82,3
0.99,0.15,0.65,1.65,3
0.78,0.11,0.63,1.25,3
0.83,0.14,0.63,1.57,3
0.4,0.1,0.28,0.49,0
0.41,0.1,0.23,0.36,0
0.4,0.1,0.25,0.33,0
0.39,0.09,0.23,0.37,0
0.39,0.13,0.23,0.37,0
0.64,0.16,0.52,1.5,4
0.67,0.16,0.43,1.33,4
0.65,0.11,0.32,1.14,4
0.56,0.13,0.36,0.85,4
0.57,0.17,0.33,1.1,4
0.43,0.09,0.35,0.41,0
0.42,0.09,0.19,0.35,0
0.43,0.09,0.21,0.35,0
0.39,0.09,0.22,0.36,0
0.4,0.11,0.22,0.35,0
1.19,0.15,0.4,1,1
1.05,0.15,0.38,0.7,1
0.9,0.12,0.35,0.69,1
0.83,0.1,0.35,0.63,1
0.99,0.1,0.47,0.71,1
0.43,0.1,0.27,0.37,0
0.47,0.09,0.24,0.34,0
0.45,0.09,0.25,0.34,0
0.42,0.11,0.23,0.64,0
0.41,0.1,0.23,0.34,0
0.87,0.14,0.6,0.76,2
1.15,0.15,0.09,1.53,2
1.26,0.12,0.08,1.5,2
