EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.36,0.09,0.25,0.33,0
0.39,0.08,0.23,0.31,0
0.35,0.08,0.22,0.31,0
0.37,0.09,0.22,0.32,0
0.36,0.09,0.21,0.32,0
1.16,0.11,0.53,0.82,1
1.09,0.12,0.54,0.73,1
0.93,0.1,0.46,0.67,1
1.09,0.12,0.55,0.78,1
0.93,0.1,0.5,0.81,1
0.35,0.19,0.29,0.55,0
0.43,0.08,0.23,0.3,0
0.42,0.08,0.22,0.38,0
0.38,0.09,0.22,0.37,0
0.38,0.09,0.22,0.35,0
1.21,0.11,0.7,1.5,2
1.42,0.19,0.71,1.8,2
1.05,0.17,0.57,2.15,2
1.48,0.11,0.71,1.37,2
0.93,0.11,0.59,1.39,2
0.35,0.08,0.25,0.32,0
0.34,0.08,0.26,0.3,0
0.34,0.08,0.22,0.34,0
0.41,0.08,0.22,0.38,0
0.36,0.09,0.22,0.43,0
1.41,0.11,0.7,1.19,3
0.89,0.14,0.54,1.36,3
0.87,0.11,0.49,1.13,3
0.67,0.09,0.37,0.95,3
0.61,0.1,0.42,0.87,3
0.35,0.08,0.22,0.39,0
0.41,0.08,0.22,0.3,0
0.68,0.08,0.22,0.31,0
0.35,0.09,0.22,0.32,0
0.37,0.1,0.22,0.32,0
1.02,0.27,0.36,0.88,4
0.73,0.11,0.37,0.8,4
0.68,0.09,0.38,0.76,4
0.67,0.12,0.4,0.84,4
0.67,0.12,0.49,0.93,4
0.38,0.08,0.22,0.46,0
0.36,0.08,0.22,0.3,0
0.35,0.08,0.21,0.3,0
0.34,0.08,0.22,0.29,0
0.34,0.08,0.22,0.29,0
1.28,0.12,0.51,0.59,1
0.94,0.09,0.41,0.73,1
0.72,0.08,0.39,0.62,1
0.65,0.08,0.37,0.62,1
0.94,0.12,0.5,0.71,1
0.38,0.13,0.24,0.45,0
0.34,0.08,0.22,0.34,0
0.35,0.08,0.22,0.3,0
0.34,0.08,0.22,0.3,0
0.34,0.08,0.22,0.31,0
1.22,0.12,0.82,1.56,2
1.34,0.12,0.65,1.38,2
1.34,0.17,0.81,2.43,2
1.84,0.24,0.93,2.6,2
1.66,0.23,0.8,1.85,2
0.35,0.08,0.21,0.41,0
0.37,0.08,0.22,0.3,0
0.35,0.08,0.21,0.37,0
0.34,0.08,0.22,0.3,0
0.35,0.08,0.22,0.32,0
0.92,0.1,0.48,1.31,3
1.09,0.13,0.89,1.35,3
0.8,0.12,0.81,1.01,3
0.63,0.09,0.42,1.21,3
1.04,0.1,0.51,1.36,3
0.72,0.15,0.64,1.49,3
0.37,0.09,0.22,0.32,0
0.39,0.08,0.22,0.31,0
0.34,0.08,0.21,0.3,0
0.36,0.08,0.22,0.3,0
0.35,0.08,0.22,0.31,0
0.68,0.09,0.39,0.78,4
0.47,0.09,0.38,1.05,4
0.57,0.11,0.35,0.95,4
0.64,0.09,0.37,0.84,4
0.55,0.1,0.39,1.16,4
0.34,0.08,0.22,0.39,0
0.35,0.08,0.22,0.31,0
0.35,0.08,0.22,0.32,0
0.36,0.08,0.22,0.3,0
0.39,0.08,0.22,0.3,0
1.01,0.09,0.43,0.59,1
0.8,0.1,0.51,0.78,1
0.77,0.08,0.46,0.63,1
0.94,0.12,0.5,0.85,1
0.8,0.09,0.43,0.59,1
0.41,0.08,0.22,0.31,0
0.34,0.09,0.25,0.35,0
0.44,0.08,0.22,0.3,0
0.4,0.08,0.21,0.29,0
0.49,0.08,0.22,0.3,0
1.79,0.15,0.8,1.61,2
1.46,0.1,0.53,1.34,2
