
0.18,0.07,0.15,0.23
0.20,0.07,0.10,0.24
0.16,0.07,0.11,0.28
0.21,0.07,0.11,0.26
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.17,0.07,0.09,0.23
0.20,0.07,0.10,0.31
0.23,0.07,0.16,0.28
0.21,0.08,0.16,0.95
0.15,0.07,0.09,0.23
1.27,0.07,0.41,0.53
1.34,0.09,0.45,0.65
1.57,0.10,0.60,0.67
0.95,0.08,0.39,0.70
0.83,0.07,0.35,0.54
0.36,0.10,0.34,0.47
0.20,0.08,0.09,0.42
0.17,0.07,0.09,0.34
0.16,0.07,0.08,0.37
0.21,0.07,0.09,0.27
1.03,0.11,0.48,1.20
2.19,0.16,0.78,1.66
2.55,0.12,1.05,1.66
1.17,0.08,0.49,1.29
0.82,0.08,0.62,1.48
0.48,0.25,0.19,0.78
0.24,0.08,0.12,0.74
0.19,0.08,0.11,0.38
0.15,0.07,0.09,0.23
0.15,0.07,0.09,0.22
1.09,0.08,0.44,0.68
0.96,0.16,0.40,0.86
0.98,0.22,0.47,1.03
1.69,0.23,0.65,1.47
1.83,0.34,0.81,1.88
1.60,0.21,0.80,1.35
0.37,0.11,0.45,0.80
0.23,0.07,0.15,0.24
0.18,0.07,0.11,0.24
0.18,0.07,0.09,0.24
0.18,2.64,0.09,0.25
0.80,0.09,0.43,0.89
0.60,0.12,0.24,1.23
0.59,0.09,0.29,0.94
0.57,0.09,0.36,0.98
0.57,0.09,0.28,0.72
0.27,0.09,0.37,0.43
0.40,0.08,0.23,0.45
0.18,0.07,0.09,0.23
0.18,0.07,0.08,0.23
0.15,0.07,0.09,0.28
1.24,0.07,0.49,0.58
0.73,0.07,0.30,0.49
1.19,0.07,0.38,0.50
0.75,0.07,0.31,0.49
1.56,0.08,0.57,0.91
0.64,0.11,0.32,0.44
0.23,0.07,0.15,0.45
0.18,0.07,0.09,0.40
0.15,0.07,0.09,0.43
0.20,0.07,0.10,0.42
1.29,0.08,0.46,0.96
2.76,0.12,0.91,1.88
2.11,0.11,0.72,1.90
1.72,0.13,0.83,1.87
1.39,0.10,0.58,2.43
1.89,0.12,0.75,1.86
0.49,0.19,0.21,0.71
0.22,0.07,0.09,0.35
0.16,0.07,0.12,0.23
0.15,0.07,0.13,0.23
0.15,0.07,0.10,0.22
1.35,0.19,0.65,0.92
1.45,0.26,0.66,1.13
0.70,0.10,0.39,1.33
0.87,0.20,0.34,1.05
0.87,0.11,0.43,1.12
0.45,0.45,0.21,1.30
0.21,0.07,0.11,0.22
0.22,0.07,0.09,0.22
0.22,0.07,0.17,0.25
0.23,0.07,0.13,0.22
0.58,0.08,0.29,0.87
0.51,0.10,0.26,0.79
0.58,0.07,0.22,0.84
0.49,0.09,0.26,0.91
0.39,0.08,0.23,0.92
0.21,0.07,0.15,0.24
0.17,0.07,0.09,0.24
0.18,0.07,0.10,0.22
0.16,0.07,0.09,0.22
0.17,0.23,0.13,0.25
0.96,0.07,0.38,0.63
1.00,0.07,0.35,0.58
1.00,0.07,0.46,0.63
0.72,0.07,0.36,0.45
0.77,0.08,0.39,0.61
0.43,0.07,0.25,0.38
0.19,0.07,0.19,0.24
0.20,0.07,0.09,0.30
