G Sensor 4
0.43,0.09,0.23,0.33
0.48,0.08,0.23,0.32
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.37,0.09,0.22,0.31
0.36,0.22,0.22,0.38
0.35,0.10,0.24,0.32
0.40,0.09,0.22,0.34
0.42,0.09,0.22,0.32
1.49,0.13,0.65,0.67
1.35,0.12,0.65,0.81
1.07,0.10,0.44,0.67
1.02,0.11,0.47,0.69
1.24,0.10,0.45,0.78
0.40,0.09,0.28,0.33
0.38,0.09,0.24,0.47
0.43,0.09,0.22,0.30
0.36,0.09,0.22,0.35
0.35,0.08,0.23,0.33
1.88,0.16,0.96,1.88
1.98,0.15,0.88,1.52
1.04,0.11,0.58,1.38
1.32,0.14,0.64,1.27
1.18,0.12,0.62,1.32
0.42,0.09,0.23,0.41
0.35,0.08,0.22,0.40
0.35,0.09,0.22,0.31
0.35,0.08,0.22,0.29
0.35,0.08,0.22,0.32
0.99,0.11,0.57,1.07
0.97,0.12,0.75,1.09
0.83,0.11,0.44,0.91
0.71,0.08,0.42,0.75
0.68,0.11,0.44,0.88
0.36,0.11,0.22,0.41
0.35,0.08,0.22,0.31
0.36,0.08,0.22,0.30
0.35,0.08,0.22,0.31
0.35,0.08,0.22,0.31
0.58,0.10,0.32,0.87
0.63,0.09,0.29,0.88
0.55,0.10,0.33,1.01
0.50,0.09,0.29,0.88
0.58,0.09,0.33,1.00
0.35,0.08,0.23,0.31
0.36,0.08,0.22,0.33
0.35,0.08,0.22,0.30
0.45,0.08,0.22,0.30
0.42,0.08,0.22,0.38
1.03,0.12,0.43,0.81
1.00,0.10,0.43,0.73
0.82,0.11,0.42,0.66
0.88,0.08,0.41,0.68
0.79,0.08,0.35,0.49
0.37,0.09,0.23,0.49
0.77,0.08,0.23,0.33
0.45,0.08,0.25,0.33
0.36,0.08,0.23,0.38
0.39,0.08,0.22,0.31
1.41,0.18,0.75,1.67
1.17,0.14,0.69,1.41
1.15,0.12,0.70,1.31
1.69,0.23,1.08,2.46
2.20,0.22,1.30,2.19
0.41,0.09,0.22,0.40
0.35,0.08,0.22,0.31
0.35,0.08,0.23,0.33
0.36,0.09,0.23,0.30
0.35,0.09,0.22,0.32
0.86,0.11,0.50,0.79
0.85,0.12,0.44,1.08
0.97,0.09,0.49,1.22
0.81,0.10,0.67,1.28
0.81,0.10,0.53,1.61
0.35,0.08,0.22,0.32
0.37,0.08,0.22,0.31
0.35,0.08,0.22,0.31
0.45,0.08,0.22,0.33
0.36,0.08,0.22,0.32
0.79,0.11,0.38,1.05
0.46,0.09,0.38,1.06
0.44,0.15,0.30,0.93
0.43,0.09,0.26,0.90
0.52,0.10,0.31,0.90
0.36,0.08,0.24,0.33
0.40,0.08,0.22,0.32
0.36,0.08,0.22,0.34
0.41,0.08,0.23,0.31
0.36,0.08,0.22,0.31
0.89,0.08,0.36,0.52
1.01,0.12,0.46,0.78
0.81,0.09,0.37,0.67
0.64,0.09,0.40,0.66
0.72,0.08,0.36,0.61
0.37,0.12,0.23,0.43
0.35,0.09,0.22,0.34
0.38,0.08,0.22,0.30
0.36,0.08,0.22,0.74
0.35,0.09,0.22,0.45
0.83,0.11,0.73,0.97
1.09,0.17,0.87,1.86
