0.16,0.07,0.11,0.32
0.16,0.07,0.15,0.32
0.15,0.07,0.11,0.23
0.16,0.07,0.09,0.23
0.20,0.07,0.11,0.27
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.29,0.07,0.12,0.40
0.18,0.07,0.11,0.23
0.22,0.07,0.10,0.24
0.16,0.07,0.10,0.26
0.15,0.07,0.10,0.25
1.13,0.07,0.32,0.57
0.83,0.07,0.35,0.56
0.75,0.07,0.31,0.65
0.76,0.07,0.34,0.52
1.64,0.07,0.52,0.73
0.43,0.13,0.29,0.43
0.23,0.07,0.16,0.29
0.21,0.07,0.10,0.37
0.17,0.07,0.10,0.59
0.16,0.07,0.11,0.44
1.20,0.08,0.58,0.90
2.25,0.11,0.86,1.47
1.83,0.09,0.74,1.78
1.22,0.08,0.57,1.86
2.43,0.10,0.79,1.67
0.47,0.07,0.22,0.68
0.22,0.07,0.14,0.39
0.20,0.07,0.13,0.22
0.20,0.07,0.08,0.39
0.18,0.07,0.09,0.38
1.00,0.08,0.33,0.61
1.67,0.09,0.54,0.95
1.49,0.19,0.81,1.13
1.27,0.14,0.58,1.30
1.15,0.60,0.70,1.50
0.64,0.50,0.29,1.31
0.34,0.13,0.12,0.25
0.26,0.14,0.10,0.24
0.22,0.07,0.09,0.25
0.21,0.07,0.11,0.22
0.79,0.08,0.39,1.08
0.59,0.08,0.31,0.98
0.64,0.13,0.28,1.30
0.55,0.12,0.33,1.22
0.67,0.10,0.33,1.20
0.37,0.09,0.25,0.69
0.29,0.07,0.13,0.25
0.17,0.07,0.09,0.22
0.16,0.07,0.10,0.22
0.15,0.07,0.10,0.22
1.09,0.08,0.33,0.71
1.29,0.07,0.36,0.86
1.01,0.07,0.39,0.86
0.78,0.07,0.31,0.72
0.94,0.08,0.46,0.69
0.53,0.08,0.32,0.61
0.23,0.07,0.23,0.47
0.22,0.07,0.15,0.40
0.17,0.07,0.16,0.35
0.15,0.07,0.15,0.37
1.09,0.09,0.45,1.28
1.25,0.07,0.78,1.34
0.80,0.08,0.65,1.29
0.77,0.07,0.60,1.65
0.90,0.08,0.72,1.52
0.93,0.13,0.44,1.35
0.36,0.07,0.14,0.25
0.20,0.07,0.09,0.22
0.17,0.07,0.11,0.22
0.15,1.46,0.09,0.22
0.85,0.26,0.35,0.98
1.90,0.40,0.68,1.18
1.19,0.23,0.48,1.14
0.79,0.14,0.40,0.85
0.81,0.10,0.48,1.00
0.57,0.10,0.18,0.71
0.22,0.07,0.10,0.31
0.22,0.07,0.10,0.23
0.17,0.07,0.10,0.23
0.19,0.07,0.13,0.22
0.97,0.09,0.37,0.81
0.60,0.07,0.28,0.90
0.41,0.09,0.33,1.12
0.46,0.07,0.25,0.87
0.50,0.08,0.27,1.19
0.46,0.08,0.27,0.77
0.22,0.07,0.09,0.23
0.16,0.07,0.09,0.25
0.18,0.07,0.10,0.25
0.15,0.07,0.10,0.23
0.67,0.07,0.28,0.58
0.87,0.07,0.35,0.56
1.18,0.08,0.44,0.52
0.82,0.07,0.28,0.50
0.78,0.07,0.31,0.48
0.43,0.22,0.20,0.41
0.15,0.08,0.10,0.24
0.17,0.07,0.10,0.24
0.22,0.07,0.10,0.26
0.21,0.07,0.11,0.24
