EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.39,0.09,0.25,0.33,0
0.4,0.09,0.26,0.32,0
0.54,0.1,0.25,0.33,0
0.52,0.08,0.24,0.32,0
0.5,0.23,0.25,0.32,0
1.01,0.12,0.49,0.66,1
0.81,0.11,0.46,0.72,1
0.74,0.11,0.46,0.62,1
0.99,0.09,0.51,0.64,1
0.87,0.11,0.48,0.56,1
0.38,0.24,0.24,0.33,0
0.42,0.09,0.26,0.32,0
0.45,0.08,0.28,0.32,0
0.4,0.08,0.24,0.31,0
0.44,0.09,0.25,0.31,0
1.57,0.31,0.89,1.29,2
1.26,0.14,0.64,1.31,2
1.25,0.22,0.71,1.63,2
1.11,0.49,0.58,1.12,2
1.02,0.2,0.63,1.25,2
0.39,0.09,0.27,0.34,0
0.52,0.09,0.26,0.34,0
0.47,0.09,0.25,0.33,0
0.41,0.14,0.26,0.33,0
0.57,0.08,0.26,0.32,0
0.88,0.11,0.52,1.3,3
0.93,0.1,0.73,1.14,3
0.99,0.23,0.63,1.66,3
0.69,0.1,0.47,1.14,3
0.8,0.22,0.54,0.77,3
0.39,0.15,0.27,0.34,0
0.39,0.12,0.25,0.32,0
0.42,0.08,0.24,0.32,0
0.39,0.22,0.26,0.32,0
0.43,0.11,0.24,0.33,0
0.79,0.09,0.41,0.87,4
0.68,0.2,0.4,0.84,4
0.61,0.11,0.4,0.61,4
0.53,0.14,0.35,0.96,4
0.75,0.23,0.52,1.05,4
0.5,0.09,0.32,0.37,0
0.39,0.08,0.25,0.34,0
0.44,0.09,0.24,0.32,0
0.43,0.08,0.24,0.34,0
0.45,0.16,0.25,0.37,0
1.35,0.18,0.57,0.58,1
1.2,0.13,0.55,0.71,1
1.05,0.1,0.49,0.6,1
0.75,0.18,0.47,0.7,1
0.84,0.14,0.46,0.68,1
0.37,0.08,0.35,0.36,0
0.4,0.09,0.25,0.31,0
0.37,0.13,0.25,0.33,0
0.4,0.08,0.25,0.32,0
0.38,0.18,0.26,0.32,0
1.21,0.1,0.67,1.39,2
1.12,0.25,0.59,1.03,2
0.93,0.19,0.5,1.28,2
1.21,0.12,0.55,1.19,2
0.96,0.09,0.62,1.18,2
0.4,0.1,0.27,0.33,0
0.56,0.08,0.25,0.37,0
0.43,0.15,0.25,0.32,0
0.44,0.08,0.25,0.32,0
0.51,0.1,0.25,0.31,0
0.78,0.25,0.48,0.96,3
1.3,0.24,0.63,1.53,3
1.3,0.16,0.71,1.45,3
0.97,0.12,0.48,1.21,3
0.7,0.1,0.49,0.89,3
0.58,0.12,0.36,0.33,0
0.38,0.08,0.24,0.36,0
0.37,0.08,0.25,0.32,0
0.38,0.13,0.25,0.33,0
0.47,0.08,0.25,0.32,0
0.74,0.11,0.34,0.97,4
0.62,0.17,0.38,0.7,4
0.63,0.12,0.38,0.88,4
0.58,0.12,0.36,1.03,4
0.74,0.1,0.4,0.86,4
0.47,0.08,0.3,0.41,0
0.49,0.15,0.28,0.32,0
0.37,0.08,0.25,0.41,0
0.41,0.1,0.25,0.38,0
0.42,0.08,0.26,0.37,0
0.8,0.1,0.43,0.62,1
0.84,0.19,0.45,0.8,1
0.63,0.19,0.35,0.63,1
0.79,0.11,0.48,0.69,1
0.82,0.1,0.52,0.68,1
0.43,0.1,0.38,0.37,0
0.38,0.26,0.25,0.31,0
0.41,0.12,0.25,0.33,0
0.37,0.08,0.27,0.32,0
0.38,0.08,0.25,0.32,0
1.46,0.18,0.81,1.64,2
0.98,0.11,0.72,1.23,2
1.08,0.11,0.66,1.41,2
0.7,0.31,0.47,0.92,2
0.86,0.11,0.5,1.2,2
