EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.21,0.07,0.11,0.24,0
0.21,0.07,0.1,0.23,0
0.22,0.07,0.11,0.22,0
0.21,0.07,0.11,0.24,0
0.27,0.07,0.12,0.25,0
0.87,0.07,0.34,0.43,1
0.8,0.07,0.37,0.44,1
1.04,0.08,0.46,0.54,1
0.78,0.08,0.37,0.56,1
0.86,0.08,0.45,0.65,1
0.61,0.08,0.45,0.44,1
0.23,0.07,0.22,0.26,0
0.22,0.07,0.17,0.24,0
0.23,0.07,0.2,0.24,0
0.41,0.07,0.17,0.35,0
1.1,0.08,0.85,1.4,2
0.89,0.08,0.64,1.46,2
0.9,0.07,0.7,1.17,2
0.83,0.07,0.83,1.41,2
1.13,0.1,1.07,1.88,2
0.7,0.19,0.33,0.97,2
0.53,0.07,0.18,0.25,0
0.29,0.07,0.15,0.38,0
0.3,0.07,0.13,0.39,0
0.44,3.35,0.21,0.25,0
2.02,2.55,0.67,1.09,3
2.4,1.7,0.94,1.3,3
1.24,0.25,0.59,0.94,3
2.03,0.47,0.95,1.64,3
1.03,0.34,0.64,1.59,3
1.03,0.22,0.62,1.14,3
0.41,0.07,0.25,0.32,0
0.51,0.31,0.5,0.26,0
0.65,0.07,0.12,0.27,0
0.48,0.07,0.22,0.23,0
0.63,0.09,0.5,0.86,4
0.7,0.14,0.42,1.12,4
0.62,0.1,0.31,1.09,4
0.59,0.11,0.32,1.3,4
0.65,0.13,0.44,1.32,4
0.52,0.1,0.45,1.15,4
0.46,0.07,0.18,0.25,0
0.37,0.07,0.13,0.24,0
0.3,0.07,0.15,0.23,0
0.42,0.07,0.15,0.22,0
0.26,0.07,0.11,0.22,0
1.16,0.07,0.39,0.61,1
0.83,0.08,0.37,0.49,1
1.01,0.07,0.37,0.53,1
0.94,0.07,0.34,0.66,1
0.77,0.08,0.35,0.54,1
0.56,0.08,0.25,0.43,0
0.49,0.07,0.16,0.56,0
0.36,0.07,0.12,0.71,0
0.26,0.07,0.13,0.37,0
0.31,0.07,0.25,0.43,0
1.62,0.17,0.91,1.37,2
1.09,0.12,0.92,1.93,2
1.66,0.11,0.99,1.69,2
1.23,0.11,0.81,1.52,2
0.81,0.11,0.85,1.82,2
0.83,0.11,0.4,0.74,2
0.33,0.3,0.15,0.24,0
0.43,0.07,0.2,0.22,0
0.27,0.07,0.2,0.23,0
0.34,0.07,0.19,0.23,0
1.07,0.09,0.43,0.79,3
1.64,0.15,0.75,1.04,3
1.09,0.09,0.49,0.77,3
1.02,1.26,0.62,0.65,3
1.27,0.2,0.39,1.54,3
0.43,0.07,0.17,0.23,0
0.45,0.07,0.17,0.31,0
0.37,0.07,0.13,0.29,0
0.42,0.07,0.14,0.3,0
0.53,0.07,0.17,0.25,0
0.87,0.09,0.39,1.05,4
0.62,0.09,0.32,1.23,4
0.84,0.1,0.36,1.47,4
0.7,0.1,0.43,1.08,4
0.31,0.08,0.43,0.75,4
0.46,0.07,0.16,0.28,0
0.52,0.07,0.17,0.22,0
0.47,0.07,0.17,0.23,0
0.35,0.07,0.13,0.23,0
0.99,0.08,0.4,0.62,1
0.92,0.07,0.39,0.58,1
0.76,0.07,0.35,0.57,1
0.79,0.07,0.34,0.65,1
0.9,0.07,0.37,0.68,1
0.71,0.09,0.24,0.49,1
0.4,0.07,0.18,0.26,0
0.31,0.07,0.14,0.26,0
0.42,0.07,0.18,0.25,0
0.47,0.07,0.24,0.28,0
1.17,0.07,0.63,1.27,2
